id,Synopstationsnummer,Stationsname,Länge [°E],Breite [°N],Höhe [m],Startdatum,Enddatum,Bundesland,Sonnenschein,Globalstrahlung,Synop,Verknüpfungsnummer,Startdatum Teilzeitreihe,Enddatum Teilzeitreihe,zusammengesetzt
5882,11082,GUMPOLDSKIRCHEN,16.280834,48.035831,212.0,2018-03-29,2100-12-31,NOE,,,Synopmeldung,32,2018-03-29,2100-12-31,nein
13401,11176,KAPFENBERG-FLUGFELD,15.335556,47.458332,515.0,2018-05-24,2100-12-31,STMK,ja,ja,Synopmeldung,217,2018-05-23,2100-12-31,nein
2117,11297,HORN -  WASSERWERK,15.643888,48.674999,308.0,2019-04-16,2100-12-31,NOE,ja,ja,keine Synopmeldung,199,2020-01-01,2100-12-31,nein
8807,,ACHENKIRCH,11.700833,47.5075,937.0,2020-06-01,2100-12-31,TIR,,,keine Synopmeldung,,,,nein
16906,11108,GASCHURN,10.031667,46.980278,985.0,2020-09-01,2100-12-31,VBG,ja,ja,keine Synopmeldung,,,,nein
20209,8989076,KLAGENFURT/HTL1-LASTENSTRASSE,14.316667,46.619446,441.0,2021-04-21,2100-12-31,KNT,,,,,,,nein
1416,11008,ROHRBACH,14.004444,48.567223,613.0,2021-10-15,2100-12-31,OOE,ja,ja,Synopmeldung,77,2021-10-15,2100-12-31,nein
7956,11395,ANDAU,17.035555,47.77,117.0,2021-06-16,2100-12-31,BGL,ja,ja,Synopmeldung,218,2021-07-01,2100-12-31,nein
500,11021,LITSCHAU,15.038333,48.954723,558.0,1983-11-01,2100-12-31,NOE,ja,ja,Synopmeldung,57,1983-11-01,2100-12-31,nein
501,11021,LITSCHAU,15.033334,48.966667,570.0,1962-07-01,1983-10-31,NOE,ja,nein,Synopmeldung wurde eingestellt,57,1962-07-01,1983-10-31,nein
504,,LITSCHAU,15.05,48.950001,570.0,1954-07-01,1961-08-31,NOE,ja,nein,keine Synopmeldung,57,1954-07-01,1961-08-31,nein
600,,PFAFFENSCHLAG,15.283334,48.900002,573.0,1951-06-01,1979-12-31,NOE,nein,nein,keine Synopmeldung,,,,nein
610,,MEIRES,15.283334,48.783333,495.0,1971-01-01,1974-07-31,NOE,nein,nein,keine Synopmeldung,,,,nein
700,,JAPONS,15.571389,48.791943,520.0,1953-09-01,1982-10-31,NOE,nein,nein,keine Synopmeldung,191,1953-09-16,1982-10-31,nein
710,,SCHOENFELD,15.416667,48.783333,585.0,1961-01-01,1981-12-31,NOE,ja,nein,keine Synopmeldung,,,,nein
726,11047,RAABS/THAYA,15.501945,48.848057,458.5,2008-06-25,2100-12-31,NOE,ja,ja,keine Synopmeldung,,,,nein
900,11022,RETZ,15.95,48.766666,242.0,1946-01-01,1983-10-31,NOE,ja,ja,Synopmeldung wurde eingestellt,81,1946-01-01,1983-10-31,nein
901,11022,RETZ,15.95,48.753613,256.0,1983-11-01,2100-12-31,NOE,ja,ja,Synopmeldung wurde eingestellt,81,1983-11-01,1993-12-31,nein
905,11022,RETZ/WINDMUEHLE,15.941667,48.761112,320.0,1994-01-01,2100-12-31,NOE,ja,ja,Synopmeldung,81,1994-01-01,2100-12-31,nein
910,,UNTERRETZBACH,15.998611,48.768333,243.0,1994-01-01,2007-12-31,NOE,nein,nein,keine Synopmeldung,,,,nein
1210,,PASSAU-OBERHAUS,13.483334,48.583332,409.0,1961-01-01,1991-11-30,OOE,nein,nein,keine Synopmeldung,,,,nein
1400,,KOLLERSCHLAG,13.84,48.606388,725.0,1895-07-01,2008-06-30,OOE,nein,nein,keine Synopmeldung,157,1895-07-01,2008-06-16,nein
1410,11008,ROHRBACH,14.0,48.566666,602.0,1948-05-01,1994-11-30,OOE,ja,nein,Synopmeldung wurde eingestellt,77,1948-05-23,1994-07-31,nein
1415,11008,ROHRBACH,13.994166,48.569721,597.0,1994-07-01,2021-10-31,OOE,,ja,Synopmeldung wurde eingestellt,77,1994-08-01,2021-10-14,nein
1600,11015,FREISTADT,14.5,48.516666,548.0,1895-07-01,1991-12-31,OOE,ja,nein,Synopmeldung wurde eingestellt,26,1895-07-01,1991-12-31,nein
1601,11015,FREISTADT,14.506111,48.506111,549.0,1991-12-01,2014-08-05,OOE,ja,ja,Synopmeldung wurde eingestellt,26,1992-01-01,2014-06-30,nein
1602,11068,FREISTADT,14.506389,48.49472,539.0,2014-03-31,2100-12-31,OOE,nein,ja,keine Synopmeldung,26,2014-07-01,2100-12-31,nein
1700,,KARLSTIFT,14.75,48.599998,934.0,1971-01-01,1990-05-31,NOE,ja,nein,keine Synopmeldung,219,1971-01-01,1990-05-31,nein
1701,,KARLSTIFT/STADLBERG,14.720555,48.598331,946.0,1990-08-01,1991-03-31,NOE,nein,nein,keine Synopmeldung,219,1990-08-01,1991-03-31,nein
1710,,LIEBENAU,14.805278,48.532776,998.0,1992-10-01,1994-04-30,OOE,ja,ja,Synopmeldung wurde eingestellt,,,,nein
1800,11025,WEITRA,14.898889,48.698055,580.0,1936-01-01,2006-03-31,NOE,ja,nein,Synopmeldung wurde eingestellt,148,1936-01-01,2004-12-31,nein
1802,11025,WEITRA,14.898611,48.702221,572.0,2003-08-01,2100-12-31,NOE,ja,ja,Synopmeldung,148,2005-01-01,2100-12-31,nein
1900,,SCHWARZENAU,15.266389,48.746666,500.0,1974-08-01,1999-08-31,NOE,ja,nein,keine Synopmeldung,123,1974-08-01,1999-08-31,nein
1901,,SCHWARZENAU,15.258611,48.74361,504.0,1999-09-01,2002-03-31,NOE,nein,nein,keine Synopmeldung,123,1999-09-01,2002-03-31,nein
1903,,SCHWARZENAU,15.257778,48.742779,499.0,2002-08-01,2004-03-31,NOE,nein,nein,keine Synopmeldung,123,2002-08-01,2004-03-31,nein
1910,11020,STIFT ZWETTL,15.2,48.616665,506.0,1936-01-01,1994-07-31,NOE,nein,nein,Synopmeldung wurde eingestellt,89,1936-01-01,1994-07-31,nein
1920,11020,STIFT ZWETTL,15.203611,48.617779,502.4,1994-08-01,2100-12-31,NOE,ja,ja,Synopmeldung,89,1994-08-01,2100-12-31,nein
2100,,ALTENBURG,15.6,48.650002,387.0,1981-01-01,1982-12-31,NOE,nein,nein,keine Synopmeldung,,,,nein
2110,,HORN,15.65,48.666668,315.0,1936-01-01,1983-07-31,NOE,nein,nein,keine Synopmeldung,199,1936-01-01,1983-07-31,nein
2112,,MOERTERSDORF,15.716666,48.616665,320.0,1983-10-01,1989-11-30,NOE,nein,nein,keine Synopmeldung,,,,nein
2113,,HORN,15.662778,48.669445,305.0,1990-01-01,1994-02-28,NOE,nein,nein,keine Synopmeldung,199,1990-01-01,1994-02-28,nein
2114,11388,HORN,15.653611,48.670555,318.4,2007-07-01,2020-10-06,NOE,ja,ja,keine Synopmeldung,199,2007-07-01,2019-12-31,nein
2115,11023,GARS/KAMP,15.667778,48.595554,267.0,1999-03-01,2016-05-18,NOE,ja,ja,Synopmeldung wurde eingestellt,215,1999-03-10,2016-05-18,nein
2201,,HOLLABRUNN/SCHOENGRABERN NORD,16.061945,48.604443,253.0,1989-04-01,2007-12-31,NOE,nein,nein,keine Synopmeldung,37,1989-04-01,2007-12-31,nein
2203,,HOLLABRUNN,16.083334,48.566666,245.0,1973-04-01,1975-12-31,NOE,nein,nein,keine Synopmeldung,37,1973-04-14,1975-12-31,nein
2207,11334,SCHOENGRABERN,16.061666,48.603333,253.0,2007-04-01,2100-12-31,NOE,ja,ja,keine Synopmeldung,37,2008-01-01,2100-12-31,nein
2211,,RAVELSBACH,15.848056,48.550835,259.0,1988-08-01,1995-06-30,NOE,nein,nein,keine Synopmeldung,79,1988-08-01,1995-06-30,nein
2230,,PILLERSDORF/OEHLBERG,15.933333,48.716667,315.0,1992-04-01,1993-11-30,NOE,ja,ja,keine Synopmeldung,,,,nein
2300,,BERGAU,16.166666,48.516666,239.0,1981-01-01,1981-12-31,NOE,nein,nein,keine Synopmeldung,,,,nein
2310,,WULZESHOFEN,16.299999,48.716667,184.0,1983-10-01,1984-12-31,NOE,nein,nein,keine Synopmeldung,,,,nein
2400,,LAA/THAYA,16.385279,48.726112,187.0,1952-01-01,2007-12-31,NOE,nein,nein,keine Synopmeldung,152,1952-01-01,2007-12-31,nein
2401,11335,LAA/TH.KLAERANLAGE,16.389723,48.731388,184.0,2006-12-18,2100-12-31,NOE,ja,ja,keine Synopmeldung,152,2008-01-01,2100-12-31,nein
2410,,OBERLEIS,16.370001,48.559444,420.0,1948-01-01,1997-08-31,NOE,nein,nein,keine Synopmeldung,67,1948-01-01,1997-08-31,nein
2422,,MISTELBACH AN DER ZAYA,16.583334,48.583332,230.0,1984-01-01,1993-12-31,NOE,nein,nein,keine Synopmeldung,,,,nein
2430,11332,MISTELBACH,16.609444,48.570835,191.0,2004-07-01,2100-12-31,NOE,ja,nein,Synopmeldung,,,,nein
